contract_version,is_synthetic,source,ingested_at,borehole_id,from_depth_m,to_depth_m,mn_pct,fe_pct,sio2_pct,p_pct,al2o3_pct,recovery_pct,assay_method
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403192,MOIL-BAL-01-BH-004,21.89,25.74,0.4,4.56,54.18,0.111,,88.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403208,MOIL-BAL-01-BH-004,25.74,26.24,6.16,3.88,37.92,0.113,,95.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403221,MOIL-BAL-01-BH-004,26.24,30.94,1.16,5.31,33.99,0.21,,94.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403234,MOIL-BAL-01-BH-004,30.94,34.46,1.23,3.99,51.32,0.105,,96.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403247,MOIL-BAL-01-BH-004,34.46,40.46,4.45,6.72,36.35,0.144,,99.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403260,MOIL-BAL-01-BH-004,40.46,45.61,2.22,2.56,55.77,0.035,,87.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403273,MOIL-BAL-01-BH-004,45.61,51.61,2.92,8.82,49.12,0.186,,85.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403286,MOIL-BAL-01-BH-004,51.61,53.65,0.12,3.33,43.83,0.106,,91.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403299,MOIL-BAL-01-BH-004,53.65,59.65,2.42,4.37,50.56,0.131,,94.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403312,MOIL-BAL-01-BH-004,59.65,64.71,2.13,5.78,52.85,0.136,,83.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403324,MOIL-BAL-01-BH-004,64.71,66.69,37.02,9.79,21.26,0.174,,98.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403337,MOIL-BAL-01-BH-004,66.69,68.46,41.26,7.68,3.74,0.022,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403350,MOIL-BAL-01-BH-004,68.46,69.89,38.7,3.15,8.17,0.094,,92.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403363,MOIL-BAL-01-BH-004,69.89,75.89,0.38,3.31,41.51,0.16,,91.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403376,MOIL-BAL-01-BH-004,75.89,76.42,1.01,3.4,44.25,0.068,,95.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403389,MOIL-BAL-01-BH-004,76.42,78.14,0.2,6.14,48.62,0.171,,96.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403401,MOIL-BAL-01-BH-004,78.14,79.08,2.42,3.96,49.8,0.145,,96.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403414,MOIL-BAL-01-BH-004,79.08,80.0,6.15,4.23,50.56,0.114,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403427,MOIL-BAL-01-BH-004,80.0,80.5,6.41,2.35,43.53,0.078,,96.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403440,MOIL-BAL-01-BH-004,80.5,82.12,0.33,8.0,51.21,0.18,,97.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403453,MOIL-BAL-01-BH-004,82.12,83.71,1.72,3.73,40.18,0.13,,87.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403466,MOIL-BAL-01-BH-004,83.71,84.51,5.21,4.18,49.42,0.156,,92.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403479,MOIL-BAL-01-BH-004,84.51,85.97,1.43,7.95,55.24,0.051,,90.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403492,MOIL-BAL-01-BH-004,85.97,87.45,1.57,3.17,39.51,0.118,,92.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403505,MOIL-BAL-01-BH-004,87.45,93.45,0.72,4.95,43.36,0.099,,90.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403518,MOIL-BAL-01-BH-004,93.45,94.96,1.5,6.49,48.16,0.107,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403531,MOIL-BAL-01-BH-004,94.96,96.49,0.18,6.76,38.31,0.092,,92.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403545,MOIL-BAL-01-BH-004,96.49,99.82,2.78,3.61,47.99,0.093,,95.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403558,MOIL-BAL-01-BH-004,99.82,105.82,0.74,9.82,33.39,0.08,,80.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403572,MOIL-BAL-01-BH-004,105.82,107.06,1.64,6.58,53.9,0.09,,94.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403585,MOIL-BAL-01-BH-004,107.06,111.26,1.88,4.73,57.36,0.147,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403598,MOIL-BAL-01-BH-004,111.26,115.91,0.82,4.82,47.24,0.141,,89.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403610,MOIL-BAL-01-BH-004,115.91,121.66,0.37,9.4,46.44,0.09,,97.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403624,MOIL-BAL-01-BH-004,121.66,123.79,1.94,1.2,47.14,0.16,,97.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403637,MOIL-BAL-01-BH-004,123.79,125.74,0.94,4.16,49.0,0.131,,83.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403650,MOIL-BAL-01-BH-004,125.74,127.09,0.5,0.56,49.68,0.129,,99.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403663,MOIL-BAL-01-BH-004,127.09,128.17,2.76,1.23,49.92,0.157,,87.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403676,MOIL-BAL-01-BH-004,128.17,132.14,2.99,2.38,45.89,0.15,,90.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403689,MOIL-BAL-01-BH-004,132.14,133.51,0.41,6.16,43.69,0.095,,93.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403702,MOIL-BAL-01-BH-004,133.51,136.35,2.5,2.88,43.85,0.121,,91.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403715,MOIL-BAL-01-BH-004,136.35,138.85,0.16,0.1,50.1,0.04,,87.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403728,MOIL-BAL-01-BH-004,138.85,140.61,3.82,8.69,43.31,0.042,,92.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403741,MOIL-BAL-01-BH-004,140.61,146.61,5.09,7.74,46.04,0.063,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403754,MOIL-BAL-01-BH-004,146.61,149.13,2.99,4.58,44.42,0.141,,94.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403767,MOIL-BAL-01-BH-004,149.13,150.7,3.12,5.43,38.34,0.121,,91.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403780,MOIL-BAL-01-BH-004,150.7,151.37,2.72,6.94,40.39,0.084,,96.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403792,MOIL-BAL-01-BH-004,151.37,154.13,2.87,2.14,37.56,0.161,,89.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403805,MOIL-BAL-01-BH-004,154.13,156.46,2.83,2.75,45.39,0.115,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403818,MOIL-BAL-01-BH-004,156.46,157.95,0.73,1.59,43.56,0.083,,92.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403831,MOIL-BAL-01-BH-004,157.95,161.03,1.09,1.09,44.66,0.118,,87.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403844,MOIL-BAL-01-BH-004,161.03,164.01,0.34,0.52,45.39,0.213,,84.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403857,MOIL-BAL-01-BH-004,164.01,165.83,2.59,1.35,41.63,0.116,,92.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403870,MOIL-BAL-01-BH-004,165.83,167.31,3.79,10.91,50.07,0.069,,99.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403884,MOIL-BAL-01-BH-004,167.31,170.77,1.05,9.08,57.65,0.089,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403896,MOIL-BAL-01-BH-004,170.77,176.59,0.37,5.85,54.56,0.085,,94.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403909,MOIL-BAL-01-BH-004,176.59,177.52,3.69,3.67,52.75,0.042,,93.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403922,MOIL-BAL-01-BH-004,177.52,178.12,2.4,5.25,52.26,0.162,,95.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403935,MOIL-BAL-01-BH-004,178.12,181.79,1.9,6.81,42.26,0.161,,90.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403948,MOIL-BAL-01-BH-004,181.79,182.29,0.55,2.91,41.38,0.134,,94.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403961,MOIL-BAL-01-BH-004,182.29,184.06,1.92,4.71,43.19,0.119,,99.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403974,MOIL-BAL-01-BH-004,184.06,185.15,0.47,3.34,45.22,0.108,,84.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403986,MOIL-BAL-01-BH-004,185.15,185.65,1.92,6.43,40.38,0.145,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403999,MOIL-BAL-01-BH-004,185.65,188.01,3.07,8.7,39.77,0.114,,94.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404012,MOIL-BAL-01-BH-004,188.01,192.77,0.67,4.1,44.87,0.123,,93.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404025,MOIL-BAL-01-BH-004,192.77,197.87,2.71,1.74,40.39,0.126,,88.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404038,MOIL-BAL-01-BH-004,197.87,200.74,1.24,3.81,56.04,0.098,,87.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404050,MOIL-BAL-01-BH-004,200.74,206.2,2.36,10.59,41.21,0.216,,89.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404066,MOIL-BAL-01-BH-005,0.0,5.62,2.11,7.08,43.45,0.118,,89.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404079,MOIL-BAL-01-BH-005,5.62,9.96,3.92,3.94,50.56,0.098,,95.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404092,MOIL-BAL-01-BH-005,9.96,15.96,1.92,3.2,39.22,0.073,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404104,MOIL-BAL-01-BH-005,15.96,17.86,4.54,5.01,38.55,0.133,,93.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404117,MOIL-BAL-01-BH-005,17.86,18.55,1.55,9.83,49.22,0.079,,94.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404130,MOIL-BAL-01-BH-005,18.55,19.65,2.24,10.46,38.94,0.15,,90.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404143,MOIL-BAL-01-BH-005,19.65,25.56,2.11,8.29,38.96,0.128,,94.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404156,MOIL-BAL-01-BH-005,25.56,31.56,1.1,4.01,48.77,0.086,,98.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404169,MOIL-BAL-01-BH-005,31.56,37.56,2.91,3.58,46.25,0.064,,92.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404182,MOIL-BAL-01-BH-005,37.56,43.1,5.43,10.59,44.0,0.107,,91.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404195,MOIL-BAL-01-BH-005,43.1,49.1,3.34,8.97,47.42,0.134,,88.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404208,MOIL-BAL-01-BH-005,49.1,51.22,1.69,4.77,39.73,0.06,,93.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404220,MOIL-BAL-01-BH-005,51.22,52.95,4.02,6.38,52.88,0.135,,93.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404233,MOIL-BAL-01-BH-005,52.95,54.98,5.13,4.41,46.86,0.103,,94.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404246,MOIL-BAL-01-BH-005,54.98,57.32,4.83,4.44,48.35,0.127,,95.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404259,MOIL-BAL-01-BH-005,57.32,60.13,1.04,3.58,39.5,0.129,,92.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404271,MOIL-BAL-01-BH-005,60.13,62.58,5.19,4.11,46.15,0.109,,95.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404284,MOIL-BAL-01-BH-005,62.58,65.56,50.15,12.18,9.92,0.045,,96.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404299,MOIL-BAL-01-BH-005,65.56,68.67,0.17,8.17,32.83,0.123,,85.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404312,MOIL-BAL-01-BH-005,68.67,71.59,2.41,9.03,42.2,0.099,,91.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404325,MOIL-BAL-01-BH-005,71.59,74.28,0.23,7.07,46.83,0.115,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404337,MOIL-BAL-01-BH-005,74.28,78.59,0.39,5.36,47.6,0.13,,92.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404350,MOIL-BAL-01-BH-005,78.59,82.22,0.94,9.31,38.66,0.178,,90.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404363,MOIL-BAL-01-BH-005,82.22,84.4,2.34,7.86,50.62,0.178,,90.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404376,MOIL-BAL-01-BH-005,84.4,87.17,3.62,4.01,43.83,0.035,,87.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404389,MOIL-BAL-01-BH-005,87.17,87.6,0.33,7.33,41.11,0.01,,88.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404404,MOIL-BAL-01-BH-006,0.0,0.54,0.54,4.39,45.46,0.162,,89.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404417,MOIL-BAL-01-BH-006,0.54,3.21,1.07,5.37,37.09,0.097,,91.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404430,MOIL-BAL-01-BH-006,3.21,5.09,1.52,0.1,39.63,0.108,,94.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404443,MOIL-BAL-01-BH-006,5.09,6.17,1.22,4.49,55.63,0.084,,98.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404456,MOIL-BAL-01-BH-006,6.17,12.17,2.53,2.32,46.03,0.193,,92.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404468,MOIL-BAL-01-BH-006,12.17,13.13,1.95,5.54,45.1,0.122,,91.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404481,MOIL-BAL-01-BH-006,13.13,18.4,0.66,5.05,43.11,0.17,,85.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404494,MOIL-BAL-01-BH-006,18.4,21.25,3.82,2.58,46.43,0.13,,93.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404507,MOIL-BAL-01-BH-006,21.25,23.66,1.41,5.74,42.53,0.157,,90.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404520,MOIL-BAL-01-BH-006,23.66,24.16,3.3,5.48,42.15,0.227,,95.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404532,MOIL-BAL-01-BH-006,24.16,26.93,3.03,7.48,49.69,0.125,,97.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404545,MOIL-BAL-01-BH-006,26.93,30.27,0.31,6.22,51.9,0.089,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404558,MOIL-BAL-01-BH-006,30.27,33.89,0.69,2.58,55.27,0.155,,93.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404571,MOIL-BAL-01-BH-006,33.89,35.12,1.3,8.06,44.38,0.118,,93.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404583,MOIL-BAL-01-BH-006,35.12,36.3,0.89,2.09,49.77,0.132,,88.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404596,MOIL-BAL-01-BH-006,36.3,38.04,4.61,7.82,50.08,0.085,,90.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404609,MOIL-BAL-01-BH-006,38.04,40.31,3.47,8.58,48.44,0.128,,91.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404622,MOIL-BAL-01-BH-006,40.31,43.93,5.13,7.32,50.3,0.173,,95.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404635,MOIL-BAL-01-BH-006,43.93,45.45,2.22,1.63,34.03,0.095,,94.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404648,MOIL-BAL-01-BH-006,45.45,46.05,0.45,5.7,38.03,0.087,,89.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404660,MOIL-BAL-01-BH-006,46.05,47.59,3.13,2.31,47.86,0.085,,84.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404673,MOIL-BAL-01-BH-006,47.59,48.95,2.63,5.33,46.84,0.098,,88.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404686,MOIL-BAL-01-BH-006,48.95,53.97,1.31,3.44,53.66,0.183,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404699,MOIL-BAL-01-BH-006,53.97,55.71,0.97,2.83,46.89,0.069,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404712,MOIL-BAL-01-BH-006,55.71,59.96,2.07,5.84,55.72,0.164,,98.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404725,MOIL-BAL-01-BH-006,59.96,61.04,0.31,4.18,39.13,0.111,,94.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404737,MOIL-BAL-01-BH-006,61.04,65.77,0.73,7.69,40.56,0.196,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404750,MOIL-BAL-01-BH-006,65.77,66.74,2.11,9.1,42.62,0.133,,93.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404763,MOIL-BAL-01-BH-006,66.74,68.0,0.25,2.74,50.69,0.133,,91.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404776,MOIL-BAL-01-BH-006,68.0,72.57,1.44,0.1,51.54,0.167,,90.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404789,MOIL-BAL-01-BH-006,72.57,78.57,29.59,8.71,9.49,0.172,,90.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404802,MOIL-BAL-01-BH-006,78.57,80.97,0.81,6.86,50.99,0.108,,94.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404815,MOIL-BAL-01-BH-006,80.97,86.94,4.89,3.59,45.77,0.147,,97.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404828,MOIL-BAL-01-BH-006,86.94,89.04,2.94,4.21,42.7,0.097,,98.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404840,MOIL-BAL-01-BH-006,89.04,91.31,3.05,7.25,38.66,0.057,,88.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404853,MOIL-BAL-01-BH-006,91.31,93.38,1.43,4.18,43.87,0.171,,98.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404866,MOIL-BAL-01-BH-006,93.38,94.81,2.5,4.48,41.92,0.06,,95.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404879,MOIL-BAL-01-BH-006,94.81,98.02,1.31,6.97,46.66,0.129,,94.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404892,MOIL-BAL-01-BH-006,98.02,101.2,6.15,3.88,59.79,0.159,,94.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404908,MOIL-BAL-01-BH-007,0.0,1.61,3.8,0.51,42.06,0.106,,97.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404920,MOIL-BAL-01-BH-007,1.61,2.93,1.56,5.95,51.48,0.084,,97.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404934,MOIL-BAL-01-BH-007,2.93,5.15,0.41,1.72,57.93,0.045,,93.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404946,MOIL-BAL-01-BH-007,5.15,9.98,1.67,9.61,52.55,0.088,,91.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404959,MOIL-BAL-01-BH-007,9.98,12.96,2.51,7.47,31.74,0.111,,84.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404972,MOIL-BAL-01-BH-007,12.96,15.22,1.54,4.56,30.95,0.108,,96.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404985,MOIL-BAL-01-BH-007,15.22,19.32,0.76,8.26,43.4,0.163,,86.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.404998,MOIL-BAL-01-BH-007,19.32,22.9,0.9,6.86,43.29,0.173,,90.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405011,MOIL-BAL-01-BH-007,22.9,25.11,1.25,6.36,45.49,0.131,,96.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405024,MOIL-BAL-01-BH-007,25.11,27.64,0.1,8.44,44.12,0.162,,93.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405037,MOIL-BAL-01-BH-007,27.64,31.82,2.73,3.94,38.26,0.148,,93.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405050,MOIL-BAL-01-BH-007,31.82,35.25,2.88,3.8,53.31,0.128,,95.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405062,MOIL-BAL-01-BH-007,35.25,37.68,1.52,7.56,37.23,0.096,,97.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405075,MOIL-BAL-01-BH-007,37.68,41.15,0.09,6.37,43.14,0.126,,93.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405088,MOIL-BAL-01-BH-007,41.15,43.25,1.84,10.12,43.61,0.098,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405101,MOIL-BAL-01-BH-007,43.25,45.69,1.94,10.9,45.14,0.117,,94.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.405114,MOIL-BAL-01-BH-007,45.69,46.28,4.11,3.79,46.79,0.118,,98.7,XRF (synthetic)
